"id","question","answer","category","display_order","is_active","updated_at"
"faq-001","Qu'est-ce que THE LOOP ?","THE LOOP est une application de conciergerie et de découverte qui met en avant une sélection curatée de spots, d'événements et d'outils à Conakry, pensée pour les cadres locaux et la diaspora africaine.","general","1","true","2026-08-23 00:00:00.000000+00"
"faq-002","L'application est-elle disponible sur mon téléphone ?","Oui, THE LOOP est disponible gratuitement sur Google Play (Android) et sur l'App Store (iOS).","general","2","true","2026-08-23 00:00:00.000000+00"
"faq-003","Comment créer un compte ?","L'inscription se fait avec votre numéro de téléphone. Un code de vérification (OTP) vous est envoyé par SMS pour confirmer votre identité — aucun mot de passe n'est nécessaire.","compte","3","true","2026-08-23 00:00:00.000000+00"
"faq-004","Qu'est-ce que le PASS Prime ?","Le PASS Prime est un abonnement mensuel qui donne accès à des avantages exclusifs (accueil privilégié, offres, accès prioritaire...) chez les établissements partenaires de THE LOOP.","pass_prime","4","true","2026-08-23 00:00:00.000000+00"
"faq-005","Comment payer mon PASS Prime ?","Le paiement s'effectue via Djomy, agrégateur de paiement mobile money disponible en Guinée.","pass_prime","5","true","2026-08-23 00:00:00.000000+00"
"faq-006","Le PASS Prime se renouvelle-t-il automatiquement ?","Non. Le renouvellement n'est pas automatique : chaque mois, vous devez effectuer un nouveau paiement via Djomy pour prolonger votre accès aux avantages Prime. Si vous ne renouvelez pas, votre accès Prime s'arrête simplement à la fin de la période déjà payée — aucune démarche d'annulation n'est nécessaire.","pass_prime","6","true","2026-08-23 00:00:00.000000+00"
"faq-007","Puis-je me faire rembourser mon PASS Prime ?","Le PASS Prime étant payé mois par mois et de façon volontaire, aucun remboursement n'est prévu pour une période déjà payée et activée.","pass_prime","7","true","2026-08-23 00:00:00.000000+00"
"faq-008","Comment devenir partenaire THE LOOP ?","Envoyez-nous un message à contact@theloop.gn. Notre équipe étudie chaque candidature afin de garantir la qualité de la sélection proposée aux membres.","partenaires","8","true","2026-08-23 00:00:00.000000+00"
"faq-009","Mes données personnelles sont-elles protégées ?","Oui. Vos données ne sont jamais revendues à des tiers et sont utilisées uniquement pour la gestion de votre compte, vos favoris, vos notifications et vos avantages Prime. Vous pouvez demander leur modification ou suppression à tout moment via contact@theloop.gn.","confidentialite","9","true","2026-08-23 00:00:00.000000+00"
"faq-010","Comment supprimer mon compte ?","Contactez notre service clientèle à contact@theloop.gn pour demander la suppression de votre compte et de vos données associées.","compte","10","true","2026-08-23 00:00:00.000000+00"
"faq-011","Comment sont utilisées mes réponses aux sondages ?","Vos réponses individuelles restent en base et ne sont jamais publiées nominativement. Seuls des résultats agrégés et anonymisés (ex. pourcentages, tendances) peuvent être communiqués, en interne ou en externe, pour orienter les futures sélections de THE LOOP.","confidentialite","11","true","2026-08-23 00:00:00.000000+00"
"faq-012","Suis-je obligé de répondre aux sondages ?","Non, la participation aux sondages proposés dans l'application est toujours facultative.","confidentialite","12","true","2026-08-23 00:00:00.000000+00"
"faq-013","Quelles notifications vais-je recevoir ?","Vous pouvez recevoir des notifications dans l'application et sur votre appareil concernant vos favoris, vos avantages PASS Prime, les sondages en cours et les actualités de THE LOOP.","general","13","true","2026-08-23 00:00:00.000000+00"
